trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.35520978935675,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-109.9901771149021,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9}",30,0,-58.80621413298252,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.85}",20,0,-138.8147076966821,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8}",25,0,-110.92795885747988,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.75}",20,9,-30.47590437501799,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.7}",25,0,-183.258659688726,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999999}",30,0,-95.49606321033883,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.6}",20,0,-106.23022100141958,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.55}",20,0,-29.065751359235886,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5}",25,0,-49.79658982989816,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.44999999999999996}",20,0,-21.40276296386447,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.3999999999999999}",20,0,-27.136246760223457,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.35}",20,0,2.9554111443127566,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999993}",30,0,-32.491822544253665,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.25}",20,0,-22.87187400804013,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999996}",25,0,-83.68309216261152,"{0: 20, 1: 0, 2: 0, 3: 5, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999999}",25,0,5.985076161307875,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999998}",25,0,-5.893807201497701,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.04999999999999993}",30,0,-86.01509734637905,"{0: 24, 1: 0, 2: 1, 3: 5, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-0.2902681494589794,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-0.36395835499727214,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-18.61890369241953,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,26.16073639049512,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,23.556844828802866,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-11.906236151822455,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-16.862574956343973,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,-14.339764211998492,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",35,0,0.36964849761294294,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,-1.0311763813503136,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
