trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-241.00377000701118,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.999}",35,0,-429.2141704215632,"{0: 14, 1: 3, 2: 8, 3: 3, 4: 7}",0
3,False,"{'a': 0.5, 'e': 0.998}",30,0,-67.71622133656474,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.997}",30,0,-119.41585059206655,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.996}",25,8,-36.05228276133815,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.995}",20,0,-30.719442273904942,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.994}",20,0,-147.73784155902825,"{0: 10, 1: 5, 2: 1, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.993}",25,0,-212.86790774573282,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.992}",20,0,-53.12846201236289,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.991}",20,0,-96.24000731719191,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.99}",25,0,-175.47759983459827,"{0: 16, 1: 0, 2: 3, 3: 4, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.989}",30,0,-159.98297108962979,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.988}",20,0,-169.13506723537637,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.987}",20,0,-209.8032089962175,"{0: 8, 1: 1, 2: 5, 3: 4, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.986}",20,0,-108.03018562490251,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.985}",20,0,-142.5517370843836,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.984}",20,9,-86.45019360462756,"{0: 4, 1: 3, 2: 2, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.983}",20,0,-158.12303586368023,"{0: 9, 1: 5, 2: 2, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.982}",25,0,-101.28478495068369,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.981}",20,0,-71.5454728965951,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.98}",25,4,-161.50868453360198,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 3}",1
22,False,"{'a': 0.5, 'e': 0.979}",30,12,-120.51152164455428,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.978}",20,0,-164.7457295446596,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.977}",30,0,-107.28581880042752,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.976}",25,0,-223.1740898586948,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 4}",0
26,False,"{'a': 0.5, 'e': 0.975}",25,0,-168.0948195314568,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.974}",25,0,-129.74288441518894,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.973}",25,2,-120.57767566760829,"{0: 9, 1: 5, 2: 7, 3: 2, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.972}",25,0,-132.2275550081569,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.971}",20,0,-124.35676142004267,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.97}",20,0,-161.58312791962197,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.969}",30,0,-176.56047898864705,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.968}",20,0,-106.9236677291241,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.967}",20,0,-119.6540258212027,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.966}",35,1,-205.97009227767873,"{0: 19, 1: 4, 2: 7, 3: 1, 4: 3}",1
36,False,"{'a': 0.5, 'e': 0.965}",25,0,-209.31533213449103,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
37,False,"{'a': 0.5, 'e': 0.964}",25,0,-103.73790038353216,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.963}",20,0,-145.42167239023797,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.962}",25,0,-143.6304547788086,"{0: 13, 1: 5, 2: 3, 3: 3, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.961}",25,0,-120.13851732522022,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.96}",20,9,-44.87017879493636,"{0: 5, 1: 2, 2: 4, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.959}",20,0,-75.69493711145302,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.958}",20,0,-136.877012120658,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.957}",30,0,-212.14331667847694,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.956}",20,0,-61.983375540983616,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.955}",25,0,-120.25324410894419,"{0: 12, 1: 4, 2: 7, 3: 2, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.954}",20,0,-87.59742598986915,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.953}",20,0,-91.79608008365733,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.952}",20,0,-58.89879181495711,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.951}",30,0,-142.53625311001295,"{0: 18, 1: 0, 2: 9, 3: 2, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.95}",25,0,-81.25656603059548,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.949}",20,0,-155.36812362061124,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.948}",20,0,-181.91629240874715,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
54,False,"{'a': 0.5, 'e': 0.947}",20,0,-74.4260297899547,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.946}",20,0,-23.074698086454717,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.945}",20,0,-148.3772691679927,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.944}",25,0,-86.86775703324751,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.943}",25,0,-162.2787351839987,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.942}",30,0,-97.81855540458658,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.941}",35,15,-105.48544473010942,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.94}",20,0,-99.61226893276215,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9390000000000001}",20,0,-67.24281788727005,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.938}",20,0,-187.16984462507088,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.937}",25,0,-177.1550451645377,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.9359999999999999}",25,0,-135.0823540368317,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.935}",30,0,-63.0467270175309,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9339999999999999}",30,0,-59.02953052429728,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.933}",25,0,-149.7360534261437,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.9319999999999999}",30,0,-197.3106846382592,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
70,False,"{'a': 0.5, 'e': 0.931}",20,3,-64.3179733672929,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-182.54769551027383,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.929}",25,0,-178.3185134482884,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
73,False,"{'a': 0.5, 'e': 0.9279999999999999}",25,0,-156.03016953743315,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.927}",35,0,-181.02147164994733,"{0: 22, 1: 3, 2: 5, 3: 3, 4: 2}",1
75,False,"{'a': 0.5, 'e': 0.926}",25,0,-130.8320430962762,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.925}",20,0,-72.60303078346084,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.924}",20,0,-79.31821358011088,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.923}",20,0,-73.05196394461962,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.922}",20,0,-120.73835858308725,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.921}",25,0,-168.22003431222302,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.92}",25,7,-65.23988113363494,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.919}",25,0,-92.01612652696066,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.918}",25,0,-171.23897776157142,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.917}",30,0,-122.07110606422067,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.916}",25,0,-150.656244886145,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.915}",20,0,-151.52379110876157,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
87,False,"{'a': 0.5, 'e': 0.914}",20,0,-119.75792904754562,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.913}",20,0,-12.774385853318085,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
