trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.61323729839803,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.89494557833154,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.16052276330302,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.58016144482798,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-212.32588867820735,"{0: 13, 1: 3, 2: 3, 3: 3, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.08514447616504,"{0: 20, 1: 0, 2: 7, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.60666202875872,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-163.96342293849992,"{0: 17, 1: 2, 2: 7, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.23115734347745,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.78632569149063,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-125.61305309251978,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.3565049621819,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.2446689761908,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.82791538148726,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.09871119134405,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,4,-110.6744586434531,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.99040494189525,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.97782579295189,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.50537452167856,"{0: 9, 1: 5, 2: 2, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.0566504652104,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-149.92978780616227,"{0: 15, 1: 4, 2: 1, 3: 3, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-61.04099391724869,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-70.89658721439031,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-44.69615385035847,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-176.32320294411176,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-168.03165710406086,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.73102338354312,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.58440473381447,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-39.24722919395358,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-220.27373257515066,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
